Date,Geography,Cases,Deaths
2020-02-07,Africa,0.0,0.0
2020-02-08,Africa,0.0,0.0
2020-02-09,Africa,0.0,0.0
2020-02-10,Africa,0.0,0.0
2020-02-11,Africa,0.0,0.0
2020-02-12,Africa,0.0,0.0
2020-02-13,Africa,0.0,0.0
2020-02-14,Africa,1.0,0.0
2020-02-15,Africa,0.0,0.0
2020-02-16,Africa,0.0,0.0
2020-02-17,Africa,0.0,0.0
2020-02-18,Africa,0.0,0.0
2020-02-19,Africa,0.0,0.0
2020-02-20,Africa,0.0,0.0
2020-02-21,Africa,0.0,0.0
2020-02-22,Africa,0.0,0.0
2020-02-23,Africa,0.0,0.0
2020-02-24,Africa,0.0,0.0
2020-02-25,Africa,1.0,0.0
2020-02-26,Africa,0.0,0.0
2020-02-27,Africa,0.0,0.0
2020-02-28,Africa,1.0,0.0
2020-02-29,Africa,0.0,0.0
2020-03-01,Africa,1.0,0.0
2020-03-02,Africa,4.0,0.0
2020-03-03,Africa,3.0,0.0
2020-03-04,Africa,10.0,0.0
2020-03-05,Africa,3.0,0.0
2020-03-06,Africa,19.0,0.0
2020-03-07,Africa,0.0,0.0
2020-03-08,Africa,40.0,1.0
2020-03-09,Africa,8.0,0.0
2020-03-10,Africa,13.0,1.0
2020-03-11,Africa,14.0,0.0
2020-03-12,Africa,16.0,1.0
2020-03-13,Africa,42.0,3.0
2020-03-14,Africa,78.0,1.0
2020-03-15,Africa,59.0,1.0
2020-03-16,Africa,87.0,0.0
2020-03-17,Africa,84.0,3.0
2020-03-18,Africa,116.0,6.0
2020-03-19,Africa,180.0,3.0
2020-03-20,Africa,188.0,6.0
2020-03-21,Africa,204.0,10.0
2020-03-22,Africa,265.0,12.0
2020-03-23,Africa,381.0,9.0
2020-03-24,Africa,432.0,7.0
2020-03-25,Africa,523.0,9.0
2020-03-26,Africa,553.0,18.0
2020-03-27,Africa,559.0,24.0
2020-03-28,Africa,340.0,19.0
2020-03-29,Africa,560.0,18.0
2020-03-30,Africa,411.0,21.0
2020-03-31,Africa,585.0,27.0
2020-04-01,Africa,599.0,34.0
2020-04-02,Africa,651.0,53.0
2020-04-03,Africa,882.0,44.0
2020-04-04,Africa,679.0,52.0
2020-04-05,Africa,706.0,61.0
2020-04-06,Africa,701.0,43.0
2020-04-07,Africa,633.0,46.0
2020-04-08,Africa,804.0,41.0
2020-04-09,Africa,812.0,53.0
2020-04-10,Africa,663.0,66.0
2020-04-11,Africa,716.0,49.0
2020-04-12,Africa,864.0,46.0
2020-04-13,Africa,774.0,46.0
2020-04-14,Africa,970.0,39.0
2020-04-15,Africa,957.0,37.0
2020-04-16,Africa,1168.0,55.0
2020-04-17,Africa,1406.0,51.0
2020-04-18,Africa,1306.0,42.0
2020-04-19,Africa,1209.0,63.0
2020-04-20,Africa,1158.0,38.0
2020-04-21,Africa,1070.0,30.0
2020-04-22,Africa,1402.0,51.0
2020-04-23,Africa,1438.0,57.0
2020-04-24,Africa,1719.0,27.0
2020-04-25,Africa,1231.0,51.0
2020-04-26,Africa,1534.0,48.0
2020-04-27,Africa,1334.0,39.0
2020-04-28,Africa,1627.0,61.0
2020-04-29,Africa,2013.0,65.0
2020-04-30,Africa,1946.0,46.0
2020-05-01,Africa,1726.0,58.0
2020-05-02,Africa,2228.0,67.0
2020-05-03,Africa,1594.0,37.0
2020-05-04,Africa,2658.0,46.0
2020-05-05,Africa,2038.0,66.0
2020-05-06,Africa,2546.0,98.0
2020-05-07,Africa,2490.0,67.0
2020-05-08,Africa,3624.0,81.0
2020-05-09,Africa,2850.0,67.0
2020-05-10,Africa,2579.0,69.0
2020-05-11,Africa,3066.0,54.0
2020-05-12,Africa,3160.0,51.0
2020-05-13,Africa,2915.0,98.0
2020-05-14,Africa,3119.0,69.0
2020-05-15,Africa,2928.0,62.0
2020-05-16,Africa,3003.0,84.0
2020-05-17,Africa,3313.0,51.0
2020-05-18,Africa,3668.0,73.0
2020-05-19,Africa,3012.0,75.0
2020-05-20,Africa,3792.0,83.0
2020-05-21,Africa,4692.0,105.0
2020-05-22,Africa,3875.0,89.0
2020-05-23,Africa,3862.0,73.0
2020-05-24,Africa,4126.0,97.0
2020-05-25,Africa,4116.0,125.0
2020-05-26,Africa,3712.0,112.0
2020-05-27,Africa,5079.0,108.0
2020-05-28,Africa,4919.0,92.0
2020-05-29,Africa,5748.0,131.0
2020-05-30,Africa,6120.0,147.0
2020-05-31,Africa,5248.0,153.0
2020-06-01,Africa,5785.0,121.0
2020-06-02,Africa,4885.0,151.0
2020-06-03,Africa,5087.0,107.0
2020-06-04,Africa,7106.0,155.0
2020-06-05,Africa,7196.0,159.0
2020-06-06,Africa,6595.0,140.0
2020-06-07,Africa,6337.0,133.0
2020-06-08,Africa,6648.0,175.0
2020-06-09,Africa,6472.0,175.0
2020-06-10,Africa,6546.0,150.0
2020-06-11,Africa,7402.0,163.0
2020-06-12,Africa,8077.0,199.0
2020-06-13,Africa,8101.0,203.0
2020-06-14,Africa,8767.0,206.0
2020-06-15,Africa,9621.0,303.0
2020-06-16,Africa,7613.0,253.0
2020-06-17,Africa,8732.0,203.0
2020-06-18,Africa,8254.0,201.0
2020-06-19,Africa,9826.0,263.0
2020-06-20,Africa,11330.0,236.0
2020-06-21,Africa,9442.0,197.0
2020-06-22,Africa,8989.0,223.0
2020-06-23,Africa,9051.0,282.0
2020-06-24,Africa,11358.0,235.0
2020-06-25,Africa,11950.0,214.0
2020-06-26,Africa,11577.0,213.0
2020-06-27,Africa,12284.0,202.0
2020-06-28,Africa,10647.0,179.0
2020-06-29,Africa,11048.0,216.0
2020-06-30,Africa,11616.0,267.0
2020-07-01,Africa,13227.0,259.0
2020-07-02,Africa,14193.0,238.0
2020-07-03,Africa,15159.0,239.0
2020-07-04,Africa,15507.0,201.0
2020-07-05,Africa,13640.0,280.0
2020-07-06,Africa,13717.0,249.0
2020-07-07,Africa,17474.0,365.0
