"Specimen received date","Eastern Cape","Free State","Gauteng","Kwazulu-Natal","Limpopo","Mpumalanga","North West","Northern Cape","Western Cape"
"2019-12-07 22:00:00",,,,1
"2020-01-04 22:00:00",,,1
"2020-01-29 22:00:00",1
"2020-03-04 22:00:00",,,,2
"2020-03-07 22:00:00",,,2,3
"2020-03-08 22:00:00",,,3,8
"2020-03-09 22:00:00",,,5,,,1
"2020-03-10 22:00:00",,,9,10,,,,,1
"2020-03-11 22:00:00",,,16,11,,,,,3
"2020-03-12 22:00:00",,,27,12,,,,,9
"2020-03-13 22:00:00",,,34,14,1,,,,14
"2020-03-14 22:00:00",,,40,19,,,,,16
"2020-03-15 22:00:00",,,57,22,,,,,18
"2020-03-16 22:00:00",2,7,139,40,,,,,51
"2020-03-17 22:00:00",3,8,226,61,3,5,2,,77
"2020-03-18 22:00:00",,12,334,87,5,,5,1,108
"2020-03-19 22:00:00",4,25,406,109,9,,11,,141
"2020-03-20 22:00:00",5,27,461,133,10,7,13,,167
"2020-03-21 22:00:00",6,32,506,141,,,14,2,189
"2020-03-22 22:00:00",,40,525,146,,,,,193
"2020-03-23 22:00:00",8,54,585,171,11,9,,,238
"2020-03-24 22:00:00",,66,616,176,12,10,15,4,262
"2020-03-25 22:00:00",11,68,633,183,,11,16,5,286
"2020-03-26 22:00:00",14,71,643,191,13,12,18,6,310
"2020-03-27 22:00:00",15,72,664,211,,,,,331
"2020-03-28 22:00:00",,74,674,221,14,,,,345
"2020-03-29 22:00:00",16,75,684,223,17,,,7,351
"2020-03-30 22:00:00",19,78,694,238,,14,,,379
"2020-03-31 22:00:00",23,83,720,246,18,15,19,9,398
"2020-04-01 22:00:00",25,,731,259,19,17,,,417
"2020-04-02 22:00:00",27,85,751,279,,18,,,434
"2020-04-03 22:00:00",33,86,766,299,20,,,11,459
"2020-04-04 22:00:00",35,89,776,325,,,,,471
"2020-04-05 22:00:00",38,,789,366,21,,,,489
"2020-04-06 22:00:00",58,,810,399,23,20,22,15,502
"2020-04-07 22:00:00",67,93,825,429,24,,,,524
"2020-04-08 22:00:00",82,94,839,452,,21,24,,566
"2020-04-09 22:00:00",104,98,856,471,,,,16,618
"2020-04-10 22:00:00",122,,894,481,,,,,637
"2020-04-11 22:00:00",190,99,915,513,,22,,,650
"2020-04-12 22:00:00",208,100,940,521,25,,25,,663
"2020-04-13 22:00:00",222,,969,538,,,,,672
"2020-04-14 22:00:00",248,101,999,578,26,23,,,701
"2020-04-15 22:00:00",263,102,1058,619,27,,,,737
"2020-04-16 22:00:00",302,,1128,662,,,28,,853
"2020-04-17 22:00:00",340,,1174,686,28,,,,960
"2020-04-18 22:00:00",356,107,1213,765,,,29,,1027
"2020-04-19 22:00:00",384,108,1226,793,,,,,1074
"2020-04-20 22:00:00",423,,1272,823,29,,,,1192
"2020-04-21 22:00:00",478,109,1313,853,30,,30,,1421
"2020-04-22 22:00:00",533,110,1342,889,,,31,17,1584
"2020-04-23 22:00:00",580,,1370,933,32,26,33,,1789
"2020-04-24 22:00:00",624,112,1418,971,,30,,,1981
"2020-04-25 22:00:00",644,114,1446,1001,,34,34,,2134
"2020-04-26 22:00:00",664,,1539,1016,,36,,,2280
"2020-04-27 22:00:00",683,,1550,1033,,39,36,,2397
"2020-04-28 22:00:00",725,115,1619,1047,33,49,,,2622
"2020-04-29 22:00:00",788,116,1723,1075,35,53,,,2912
"2020-04-30 22:00:00",849,120,1772,1118,39,54,,23,3150
"2020-05-01 22:00:00",953,123,1786,1165,,56,,,3352
"2020-05-02 22:00:00",1053,126,1811,1209,40,,37,24,3571
"2020-05-03 22:00:00",1100,128,1843,1239,41,58,,26,3826
"2020-05-04 22:00:00",1134,129,1875,1285,42,59,38,,4344
"2020-05-05 22:00:00",1235,131,1920,1313,44,61,41,27,5034
"2020-05-06 22:00:00",1444,132,1979,1365,49,63,43,28,5751
"2020-05-07 22:00:00",1573,133,2028,1415,53,,47,29,6391
"2020-05-08 22:00:00",1656,137,2071,1454,58,,51,30,7019
"2020-05-09 22:00:00",1761,,2102,1476,,65,55,31,7694
"2020-05-10 22:00:00",1834,138,2136,1487,,,56,,8277
"2020-05-11 22:00:00",1938,140,2201,1534,63,66,57,32,9085
"2020-05-12 22:00:00",2052,150,2277,1585,77,70,58,36,10050
"2020-05-13 22:00:00",2242,155,2384,1649,78,,64,,10951
"2020-05-14 22:00:00",2389,156,2482,1695,112,73,70,38,11843
"2020-05-15 22:00:00",2514,159,2578,1736,122,78,72,39,12645
"2020-05-16 22:00:00",2646,174,2618,1786,145,79,73,,13315
"2020-05-17 22:00:00",2707,178,2640,1812,147,80,,,13927
"2020-05-18 22:00:00",2887,187,2728,1846,148,86,74,40,15027
"2020-05-19 22:00:00",3044,198,2811,1890,,93,79,42,16245
"2020-05-20 22:00:00",3245,199,2899,1928,,96,83,43,17509
"2020-05-21 22:00:00",3484,207,3027,1988,152,102,90,45,18675
"2020-05-22 22:00:00",3700,256,3310,2031,162,109,101,49,19811
"2020-05-23 22:00:00",3912,261,3485,2098,163,110,110,53,20658
"2020-05-24 22:00:00",4029,265,3553,2141,,,114,,21114
"2020-05-25 22:00:00",4351,266,3702,2366,175,117,177,55,22224
"2020-05-26 22:00:00",4644,267,3901,2531,177,120,191,65,23415
"2020-05-27 22:00:00",4934,271,4091,2623,181,,214,74,24668
"2020-05-28 22:00:00",5182,281,4332,2723,183,121,245,79,26023
"2020-05-29 22:00:00",5495,292,4606,2771,194,126,263,93,27489
"2020-05-30 22:00:00",5664,304,4810,2828,201,136,268,96,28466
"2020-05-31 22:00:00",5791,313,5007,2858,203,137,276,99,29235
"2020-06-01 22:00:00",6154,320,5395,2949,220,146,323,102,30676
"2020-06-02 22:00:00",6513,332,5780,3064,226,155,369,105,32199
"2020-06-03 22:00:00",6897,338,6204,3169,235,163,418,113,33690
"2020-06-04 22:00:00",7326,351,6636,3240,242,172,465,124,35050
"2020-06-05 22:00:00",7834,363,7075,3354,253,176,533,129,36430
"2020-06-06 22:00:00",8105,371,7461,3419,260,187,577,130,37425
"2020-06-07 22:00:00",8308,382,7747,3461,,,603,132,38184
"2020-06-08 22:00:00",8931,397,8650,3550,273,217,686,140,39509
"2020-06-09 22:00:00",9745,414,9597,3689,294,243,787,143,41028
"2020-06-10 22:00:00",10505,453,10642,3867,325,275,901,152,42311
"2020-06-11 22:00:00",11310,472,12002,4023,345,302,1030,167,43559
"2020-06-12 22:00:00",12263,486,13445,4219,385,349,1139,211,44816
"2020-06-13 22:00:00",12697,532,14434,4280,414,364,1240,214,45463
"2020-06-14 22:00:00",12938,575,15154,4362,432,380,1302,,45776
"2020-06-15 22:00:00",13913,620,17397,4580,513,467,1528,222,47501
"2020-06-16 22:00:00",14500,634,18567,4672,522,488,1621,,48014
"2020-06-17 22:00:00",15580,668,20311,4948,556,549,1811,232,49488
"2020-06-18 22:00:00",17078,708,22653,5309,579,597,2018,262,51104
"2020-06-19 22:00:00",18482,742,24961,5671,620,629,2240,282,52634
"2020-06-20 22:00:00",19532,773,26669,5968,634,651,2391,288,53453
"2020-06-21 22:00:00",19873,807,27719,6106,644,663,2478,293,53944
"2020-06-22 22:00:00",21606,900,30389,6708,723,744,2774,329,55703
"2020-06-23 22:00:00",23811,1007,33474,7345,799,819,3131,350,57437
"2020-06-24 22:00:00",26059,1116,37007,8087,873,924,3461,378,59150
"2020-06-25 22:00:00",28297,1262,40499,8986,966,1025,3774,456,60738
"2020-06-26 22:00:00",30449,1414,44225,9978,1096,1141,4109,541,62266
"2020-06-27 22:00:00",31851,1479,46704,10596,1136,1228,4284,562,62915
"2020-06-28 22:00:00",32527,1537,48751,11011,1184,1283,4435,581,63357
"2020-06-29 22:00:00",34402,1790,53094,12487,1319,1592,4930,621,65219
"2020-06-30 22:00:00",37067,1994,58408,14190,1465,1819,5473,676,66968
"2020-07-01 22:00:00",39701,2270,63584,15961,1621,2040,6047,718,68521
"2020-07-02 22:00:00",41975,2567,68901,17835,1813,2260,6494,851,70024
"2020-07-03 22:00:00",44243,2876,73679,19728,1996,2496,6880,970,71596
"2020-07-04 22:00:00",45541,3048,76925,20693,2121,2596,7098,1007,72385
"2020-07-05 22:00:00",46139,3191,79570,21481,2180,2699,7269,1037,72899
"2020-07-06 22:00:00",48140,3558,84588,23592,2413,3096,7940,1156,74390
"2020-07-07 22:00:00",50472,4040,90617,26299,2730,3543,8654,1285,75859
"2020-07-08 22:00:00",52896,4565,96157,28777,3000,3896,9231,1431,77148
"2020-07-09 22:00:00",54793,5148,101706,31542,3196,4348,9807,1567,78359
"2020-07-10 22:00:00",56962,5865,107537,34293,3400,4784,10449,1744,79580
"2020-07-11 22:00:00",57927,6234,110983,36017,3518,5105,10794,1796,80224
"2020-07-12 22:00:00",58394,6528,113159,37150,3615,5244,10955,1820,80494
"2020-07-13 22:00:00",60101,7226,118787,40119,3965,5836,11700,1977,81607
"2020-07-14 22:00:00",61832,8130,124639,43471,4293,6447,12414,2201,82715
"2020-07-15 22:00:00",63465,8865,129659,46758,4633,6974,12978,2384,83854
"2020-07-16 22:00:00",65072,9674,134144,49644,4979,7487,13515,2545,84924
"2020-07-17 22:00:00",66646,10771,138611,52803,5386,8103,14153,2765,85960
"2020-07-18 22:00:00",67568,11461,141871,55150,5554,8446,14415,2827,86527
"2020-07-19 22:00:00",67918,11970,144068,56589,5642,8694,14570,2880,86899
"2020-07-20 22:00:00",69486,12995,148959,60214,6079,9585,15283,3153,88075
"2020-07-21 22:00:00",71011,14176,153863,64026,6528,10336,15963,3405,89228
"2020-07-22 22:00:00",72395,15393,157987,67365,6913,11017,16588,3683,90345
"2020-07-23 22:00:00",73642,16555,161705,70555,7293,11752,17044,3955,91410
"2020-07-24 22:00:00",74752,17636,165116,73396,7579,12392,17465,4175,92385
"2020-07-25 22:00:00",75138,18278,167039,75177,7715,12713,17691,4263,92777
"2020-07-26 22:00:00",75328,18747,168139,76218,7790,12964,17803,4315,92988
"2020-07-27 22:00:00",76366,19755,171560,79168,8142,13722,18339,4517,93934
