;NOTE: Negative excess deaths after the peak are treated as zero excess.;;;;;;;;;;;;;;;;;
Total;34 623;10 195;30 492;39 722;15 508;12 430;5 509;7 804;16 848;3 673;12 269;7 321;9 197;10 869;3 124;5 119;6 840;173 132
;EC;FS;GT;KZN;LM;MP;NC;NW;WC;BUF;CPT;EKU;ETH;JHN;MAN;NMA;TSH;RSA
Cumulative prior to first week;88;8;56;62;5;2;1;7;71;12;60;16;60;27;8;32;7;71
03-May-20;;;;;;;;;35;;30;;;;;;;35
10-May-20;;;;;;;;;44;;40;;;;;;;44
17-May-20;;;;;;;;;307;;260;;;;;;;307
24-May-20;;;;;;;;;315;;304;;;;;;;315
31-May-20;50;;;;;;;;331;7;358;;;;;18;;469
07-Jun-20;173;;30;11;;;;;466;12;461;9;;14;;28;3;798
14-Jun-20;464;;525;146;;;;;580;47;475;118;15;136;;127;-4;1 716
21-Jun-20;718;;973;282;5;5;;;479;136;420;237;24;372;;214;78;2 477
28-Jun-20;1 100;46;1 328;395;8;1;5;29;477;156;414;382;69;488;4;243;138;3 398
05-Jul-20;1 404;155;1 722;626;57;143;1;129;487;77;398;509;127;667;46;270;239;4 724
12-Jul-20;1 438;336;2 170;1 196;230;288;68;271;465;202;350;692;378;760;25;287;322;6 462
19-Jul-20;1 376;489;1 862;1 545;222;470;106;269;345;184;274;558;524;552;77;212;320;6 685
26-Jul-20;952;551;1 437;1 370;283;403;102;236;264;71;202;404;341;418;112;148;318;5 599
02-Aug-20;599;439;898;1 108;145;280;120;175;258;79;228;231;281;202;127;102;244;4 021
09-Aug-20;383;325;590;668;211;252;104;133;102;48;78;135;101;193;129;56;141;2 769
16-Aug-20;444;304;406;425;98;121;129;150;236;23;154;101;105;164;133;59;152;2 314
23-Aug-20;198;245;318;328;103;70;116;30;172;-1;104;101;130;67;76;25;94;1 581
30-Aug-20;209;124;159;277;76;38;67;12;144;9;72;37;35;22;55;26;58;1 105
06-Sep-20;103;74;39;40;-5;30;88;-28;172;19;139;-43;-26;-4;64;-9;74;547
13-Sep-20;50;51;-52;138;57;10;47;-2;-16;5;-38;18;-34;-52;21;3;21;352
20-Sep-20;125;145;13;86;47;47;63;25;-13;2;-14;-4;17;37;47;5;12;551
27-Sep-20;113;81;-98;-21;-56;-76;62;-28;65;3;83;-4;-62;-44;43;-10;-30;322
04-Oct-20;173;73;23;134;104;25;64;5;68;50;63;-23;-4;26;40;30;24;668
11-Oct-20;243;116;100;219;107;115;55;55;66;27;58;-46;26;53;56;36;69;1 076
18-Oct-20;255;101;77;104;123;97;69;106;-1;29;5;15;-22;60;48;70;20;932
25-Oct-20;318;120;-1;74;67;101;39;20;-28;10;-1;-12;-12;5;61;174;43;738
01-Nov-20;426;79;-21;196;47;65;71;-5;40;45;18;-34;-62;35;50;238;18;925
08-Nov-20;702;53;110;131;224;62;47;-28;140;48;126;31;-11;67;30;325;37;1 469
15-Nov-20;838;80;101;73;154;55;46;49;107;71;78;-2;-19;82;32;454;33;1 503
22-Nov-20;1 130;-44;-125;100;23;-69;2;-32;38;144;45;-58;-40;45;12;389;-9;1 293
29-Nov-20;1 537;-36;-33;207;29;9;45;-33;278;189;147;1;33;24;10;327;-55;2 105
06-Dec-20;1 873;7;121;610;135;118;55;11;408;244;242;-17;179;51;0;232;46;3 338
13-Dec-20;2 157;6;82;1 080;106;74;61;-43;836;238;481;-14;413;56;-3;218;41;4 401
20-Dec-20;2 349;108;634;2 210;320;262;106;101;1 179;281;751;201;951;267;25;129;189;7 267
27-Dec-20;2 295;180;1 263;3 322;921;575;126;311;1 523;224;989;372;1 253;455;69;103;442;10 516
03-Jan-21;2 387;360;1 986;4 849;1 741;955;120;486;1 556;204;984;573;1 370;620;77;89;652;14 441
10-Jan-21;2 154;431;2 114;5 029;2 616;1 467;150;652;1 322;135;916;571;1 064;644;95;76;620;15 935
17-Jan-21;1 520;473;1 771;3 956;1 994;1 301;178;674;977;114;677;495;716;577;108;71;539;12 844
24-Jan-21;820;273;1 040;1 953;1 208;849;129;425;601;45;421;305;356;384;60;14;297;7 298
31-Jan-21;487;244;765;1 309;688;542;106;261;426;29;347;229;221;226;53;23;185;4 828
07-Feb-21;403;185;417;753;324;336;101;173;244;45;197;114;164;201;60;35;145;2 936
14-Feb-21;204;77;497;531;372;332;132;190;188;23;132;116;54;178;34;35;128;2 524
21-Feb-21;250;138;341;291;240;263;67;86;102;41;102;53;6;127;82;15;103;1 778
28-Feb-21;203;119;252;365;303;131;60;48;132;3;79;61;45;91;56;45;55;1 613
07-Mar-21;168;125;233;349;245;252;93;95;111;23;95;47;44;114;69;6;56;1 670
14-Mar-21;85;140;197;266;108;131;64;32;16;3;62;23;12;98;38;14;48;1 040
21-Mar-21;101;97;134;256;141;182;64;76;108;17;107;6;35;67;32;2;22;1 159
28-Mar-21;147;112;221;221;169;129;42;74;33;-2;29;2;-21;62;41;10;63;1 147
04-Apr-21;179;171;246;240;128;173;136;85;19;38;-24;61;-23;113;32;4;41;1 376
11-Apr-21;138;134;224;194;120;107;116;197;97;31;57;-15;8;99;58;41;59;1 327
18-Apr-21;116;245;234;150;193;142;106;136;22;41;-13;3;-26;76;82;11;72;1 344
25-Apr-21;93;240;266;215;75;81;199;132;12;44;1;36;-3;81;67;-14;23;1 315
02-May-21;103;281;229;183;119;134;210;178;80;4;-5;17;-3;75;94;12;8;1 518
09-May-21;126;320;264;180;98;169;272;213;62;40;-36;23;-33;110;118;21;-9;1 705
16-May-21;43;348;440;147;87;107;241;199;-4;8;-56;54;-13;179;107;0;78;1 611
23-May-21;109;409;499;244;82;178;281;316;139;20;46;-40;6;174;90;-17;117;2 258
30-May-21;107;384;820;347;163;237;307;345;33;-10;-5;75;-6;300;81;-36;107;2 743
06-Jun-21;97;342;920;238;216;273;256;328;36;-7;22;87;33;369;126;-23;76;2 706
13-Jun-21;298;251;1 349;291;170;242;212;278;32;70;87;200;-56;555;60;16;163;3 124
20-Jun-21;;;;;;;;;;;;;;;;;;
27-Jun-21;;;;;;;;;;;;;;;;;;
04-Jul-21;;;;;;;;;;;;;;;;;;
11-Jul-21;;;;;;;;;;;;;;;;;;
18-Jul-21;;;;;;;;;;;;;;;;;;
25-Jul-21;;;;;;;;;;;;;;;;;;
01-Aug-21;;;;;;;;;;;;;;;;;;
08-Aug-21;;;;;;;;;;;;;;;;;;
15-Aug-21;;;;;;;;;;;;;;;;;;
22-Aug-21;;;;;;;;;;;;;;;;;;
29-Aug-21;;;;;;;;;;;;;;;;;;
05-Sep-21;;;;;;;;;;;;;;;;;;
12-Sep-21;;;;;;;;;;;;;;;;;;
19-Sep-21;;;;;;;;;;;;;;;;;;
26-Sep-21;;;;;;;;;;;;;;;;;;
03-Oct-21;;;;;;;;;;;;;;;;;;
10-Oct-21;;;;;;;;;;;;;;;;;;
17-Oct-21;;;;;;;;;;;;;;;;;;
24-Oct-21;;;;;;;;;;;;;;;;;;
