date,location,infectives,mlrt,low,high
2020-03-13,EC,0.6,2.07,0.41,5.52
2020-03-14,EC,0.6,1.91,0.35,4.93
2020-03-15,EC,0.8,1.77,0.3,4.45
2020-03-16,EC,1.0,1.81,0.32,4.41
2020-03-17,EC,1.4,1.79,0.31,4.24
2020-03-18,EC,1.8,1.71,0.29,3.96
2020-03-19,EC,2.5,1.72,0.28,3.82
2020-03-20,EC,3.3,1.78,0.31,3.76
2020-03-21,EC,4.3,1.84,0.39,3.73
2020-03-22,EC,5.4,1.88,0.4,3.6
2020-03-23,EC,6.7,1.86,0.44,3.46
2020-03-24,EC,7.9,1.8,0.44,3.27
2020-03-25,EC,9.2,1.81,0.47,3.17
2020-03-26,EC,10.6,1.78,0.55,3.1
2020-03-27,EC,11.9,1.72,0.48,2.9
2020-03-28,EC,13.5,1.7,0.51,2.82
2020-03-29,EC,15.2,1.71,0.6,2.81
2020-03-30,EC,17.4,1.72,0.65,2.77
2020-03-31,EC,20.3,1.76,0.68,2.72
2020-04-01,EC,23.8,1.78,0.75,2.7
2020-04-02,EC,28.3,1.84,0.85,2.71
2020-04-03,EC,34.0,1.92,0.98,2.74
2020-04-04,EC,41.1,2.0,1.11,2.77
2020-04-05,EC,49.9,2.05,1.21,2.77
2020-04-06,EC,60.7,2.1,1.32,2.78
2020-04-07,EC,73.7,2.15,1.44,2.8
2020-04-08,EC,88.9,2.17,1.52,2.79
2020-04-09,EC,105.6,2.17,1.55,2.74
2020-04-10,EC,123.0,2.12,1.54,2.66
2020-04-11,EC,139.8,2.04,1.5,2.56
2020-04-12,EC,155.3,1.94,1.39,2.41
2020-04-13,EC,168.9,1.82,1.3,2.28
2020-04-14,EC,180.0,1.69,1.19,2.14
2020-04-15,EC,188.4,1.57,1.08,2.01
2020-04-16,EC,195.1,1.47,0.97,1.89
2020-04-17,EC,201.1,1.39,0.89,1.8
2020-04-18,EC,207.6,1.33,0.84,1.74
2020-04-19,EC,214.6,1.29,0.81,1.7
2020-04-20,EC,221.8,1.26,0.8,1.68
2020-04-21,EC,228.7,1.24,0.79,1.66
2020-04-22,EC,235.1,1.22,0.75,1.62
2020-04-23,EC,239.8,1.19,0.72,1.58
2020-04-24,EC,242.3,1.15,0.71,1.56
2020-04-25,EC,242.9,1.09,0.64,1.49
2020-04-26,EC,242.4,1.05,0.6,1.45
2020-04-27,EC,242.4,1.03,0.58,1.43
2020-04-28,EC,244.3,1.04,0.58,1.43
